customer_id,customer_segment,customer_city,customer_country,total_orders,total_items_purchased,total_lifetime_spend,avg_order_value
791,Corporate,Canton,EE. UU.,13,82,10524.17,244.75
9371,Consumer,Meridian,EE. UU.,11,87,9299.03,211.34
8766,Corporate,Caguas,Puerto Rico,11,87,9296.14,244.64
1657,Consumer,Caguas,Puerto Rico,11,111,9223.71,219.61
2641,Consumer,Carrollton,EE. UU.,11,90,9130.92,212.35
1288,Home Office,Caguas,Puerto Rico,12,89,9019.11,214.74
3710,Consumer,Springfield,EE. UU.,14,89,9019.1,214.74
4249,Consumer,Caguas,Puerto Rico,13,94,8918.85,228.69
5654,Home Office,Caguas,Puerto Rico,15,103,8904.95,189.47
5624,Consumer,Caguas,Puerto Rico,12,89,8761.98,230.58
5715,Corporate,Caguas,Puerto Rico,12,99,8595.13,195.34
1464,Consumer,Caguas,Puerto Rico,12,63,8409.22,200.22
10235,Corporate,Caguas,Puerto Rico,12,78,8404.22,200.1
664,Home Office,Holland,EE. UU.,12,76,8394.26,215.24
10351,Home Office,Caguas,Puerto Rico,7,69,8339.26,297.83
2292,Corporate,San Benito,EE. UU.,9,91,8293.04,218.24
4663,Corporate,Columbus,EE. UU.,12,91,8279.89,207.0
3708,Consumer,Westerville,EE. UU.,12,82,8275.09,188.07
12284,Consumer,New Haven,EE. UU.,14,110,8258.62,192.06
7200,Consumer,Caguas,Puerto Rico,11,85,8229.01,235.11
5927,Consumer,Caguas,Puerto Rico,8,82,8169.13,233.4
5004,Home Office,Miami,EE. UU.,13,114,8164.7,181.44
1443,Consumer,West Orange,EE. UU.,13,86,8150.13,189.54
6316,Home Office,Caguas,Puerto Rico,12,85,8105.18,207.83
12431,Corporate,Kaneohe,EE. UU.,14,92,8073.15,224.25
5897,Home Office,Newburgh,EE. UU.,12,86,8061.12,206.7
2774,Consumer,Lockport,EE. UU.,12,69,8039.3,223.31
1011,Corporate,Caguas,Puerto Rico,12,93,8023.96,211.16
6950,Corporate,Marrero,EE. UU.,12,84,7951.12,198.78
5216,Corporate,Caguas,Puerto Rico,12,68,7929.13,220.25
9300,Home Office,Enfield,EE. UU.,11,65,7891.21,254.56
10591,Corporate,Plymouth,EE. UU.,14,99,7889.05,175.31
9727,Home Office,Chicago,EE. UU.,9,78,7869.2,212.68
9557,Consumer,Gardena,EE. UU.,9,64,7782.25,277.94
6375,Corporate,Levittown,EE. UU.,9,83,7740.13,215.0
4781,Consumer,Caguas,Puerto Rico,8,70,7719.19,249.01
2723,Consumer,Caguas,Puerto Rico,7,84,7719.08,257.3
11017,Home Office,Caguas,Puerto Rico,11,88,7692.17,213.67
5146,Consumer,Santa Ana,EE. UU.,13,78,7689.15,202.35
9271,Consumer,Fort Worth,EE. UU.,8,84,7665.25,219.01
12285,Consumer,Caguas,Puerto Rico,7,69,7659.12,264.11
8517,Consumer,Humacao,Puerto Rico,13,74,7654.22,225.12
7218,Consumer,Brooklyn,EE. UU.,10,72,7654.13,225.12
749,Consumer,Caguas,Puerto Rico,12,64,7649.38,201.3
10777,Corporate,Caguas,Puerto Rico,9,82,7644.25,224.83
1492,Consumer,Montebello,EE. UU.,11,84,7627.15,200.71
5691,Corporate,Humacao,Puerto Rico,11,94,7609.04,195.1
5217,Home Office,Livermore,EE. UU.,11,69,7559.19,236.22
9737,Consumer,Caguas,Puerto Rico,9,79,7539.04,209.42
10371,Consumer,Mount Prospect,EE. UU.,10,88,7518.13,208.84
341,Consumer,Carlsbad,EE. UU.,9,92,7516.02,203.14
2484,Corporate,Apex,EE. UU.,9,52,7499.32,258.6
9883,Corporate,Caguas,Puerto Rico,10,88,7499.09,208.31
9494,Corporate,Del Rio,EE. UU.,10,93,7495.16,208.2
5283,Consumer,Escondido,EE. UU.,14,82,7475.32,191.67
1695,Corporate,Saint Paul,EE. UU.,13,77,7469.26,226.34
1920,Home Office,Caguas,Puerto Rico,11,95,7457.02,196.24
11065,Consumer,New York,EE. UU.,10,101,7450.05,181.71
9962,Consumer,Caguas,Puerto Rico,9,77,7419.23,231.85
5053,Corporate,Caguas,Puerto Rico,10,67,7411.32,224.59
773,Consumer,Saint Paul,EE. UU.,9,80,7394.19,217.48
11431,Consumer,Sacramento,EE. UU.,10,66,7384.19,210.98
7631,Corporate,Caguas,Puerto Rico,11,80,7369.2,216.74
898,Consumer,Tampa,EE. UU.,12,72,7369.16,210.55
11888,Corporate,Fullerton,EE. UU.,12,81,7344.14,236.91
450,Home Office,Caguas,Puerto Rico,11,74,7331.09,198.14
9821,Consumer,New Bedford,EE. UU.,10,85,7328.2,187.9
5648,Corporate,Memphis,EE. UU.,11,83,7323.22,178.62
1577,Home Office,Caguas,Puerto Rico,10,78,7309.33,214.98
10744,Consumer,Palatine,EE. UU.,7,55,7284.4,280.17
5454,Home Office,Ogden,EE. UU.,10,77,7279.27,242.64
6305,Corporate,Mount Pleasant,EE. UU.,11,85,7273.23,207.81
2444,Consumer,Moline,EE. UU.,9,89,7267.19,196.41
11048,Corporate,Caguas,Puerto Rico,10,84,7239.14,180.98
11768,Consumer,Miami,EE. UU.,8,79,7237.06,219.3
2970,Consumer,Brownsville,EE. UU.,12,79,7231.15,172.17
2041,Consumer,Saint Paul,EE. UU.,8,62,7220.26,257.87
468,Consumer,Caguas,Puerto Rico,8,59,7211.27,225.35
5293,Consumer,Sacramento,EE. UU.,11,74,7209.1,205.97
7445,Consumer,Santa Cruz,EE. UU.,7,65,7199.31,232.24
10291,Corporate,Aurora,EE. UU.,10,63,7195.46,232.11
10263,Consumer,Germantown,EE. UU.,11,73,7189.34,211.45
9358,Corporate,Caguas,Puerto Rico,8,75,7183.28,217.68
6615,Consumer,Olathe,EE. UU.,11,87,7179.19,205.12
6341,Corporate,Caguas,Puerto Rico,10,85,7169.25,199.15
3938,Consumer,Albuquerque,EE. UU.,10,69,7163.23,217.07
3957,Corporate,Cumberland,EE. UU.,10,77,7149.21,223.41
3420,Consumer,Catonsville,EE. UU.,10,66,7129.32,229.98
4116,Home Office,Elgin,EE. UU.,13,68,7114.26,197.62
9580,Consumer,Las Vegas,EE. UU.,9,69,7109.17,236.97
5803,Corporate,Jamaica,EE. UU.,9,84,7099.13,221.85
7962,Corporate,Caguas,Puerto Rico,11,82,7097.1,208.74
1540,Consumer,Pittsfield,EE. UU.,10,55,7094.43,236.48
687,Consumer,Garden Grove,EE. UU.,9,76,7093.08,214.94
5582,Corporate,Chicago,EE. UU.,12,71,7081.34,228.43
1780,Home Office,Caguas,Puerto Rico,8,63,7071.28,235.71
11645,Consumer,Summerville,EE. UU.,13,65,7062.3,196.18
7670,Corporate,Houston,EE. UU.,12,67,7049.32,180.75
2851,Home Office,Caguas,Puerto Rico,11,66,7037.36,219.92
11378,Consumer,Anaheim,EE. UU.,10,83,7034.16,185.11
12226,Consumer,Staten Island,EE. UU.,12,76,7032.28,200.92
11344,Consumer,Caguas,Puerto Rico,9,75,7027.06,212.94
9337,Consumer,Chicago,EE. UU.,11,68,7025.28,200.72
11654,Consumer,Santa Cruz,EE. UU.,9,70,7021.2,219.41
6285,Consumer,Brooklyn,EE. UU.,13,100,7017.97,189.67
467,Consumer,Modesto,EE. UU.,10,66,6992.3,225.56
9490,Corporate,La Mesa,EE. UU.,10,70,6984.24,249.44
7417,Home Office,Caguas,Puerto Rico,10,77,6984.18,194.01
4812,Corporate,Caguas,Puerto Rico,11,93,6984.05,211.64
9697,Consumer,Vega Baja,Puerto Rico,9,85,6958.19,224.46
5828,Consumer,Caguas,Puerto Rico,12,76,6950.13,210.61
6050,Consumer,Endicott,EE. UU.,9,101,6940.1,192.78
7954,Consumer,York,EE. UU.,9,69,6939.19,223.84
3979,Corporate,Caguas,Puerto Rico,11,94,6939.13,177.93
11656,Consumer,Aurora,EE. UU.,8,87,6937.13,216.79
2813,Consumer,Caguas,Puerto Rico,8,62,6929.4,266.52
6696,Corporate,Alpharetta,EE. UU.,9,82,6927.01,203.74
12180,Consumer,Zanesville,EE. UU.,7,66,6924.48,247.3
8015,Home Office,Caguas,Puerto Rico,12,76,6910.89,172.77
3369,Consumer,Rome,EE. UU.,11,72,6893.28,191.48
3554,Corporate,Los Angeles,EE. UU.,10,67,6892.21,208.85
