category_name,order_region,order_volume,gross_revenue,net_profit,profit_margin_pct
Fishing,Central America,2483,1128743.59,134268.2,11.9
Fishing,Western Europe,2302,1042347.91,114511.5,10.99
Cleats,Western Europe,3086,664030.25,82271.03,12.39
Cleats,Central America,3358,729718.38,79509.23,10.9
Camping & Hiking,Central America,2085,696853.57,67826.04,9.73
Cardio Equipment,Central America,1857,607819.62,62599.33,10.3
Camping & Hiking,Western Europe,1770,593960.42,60547.97,10.19
Fishing,South America,1251,573971.32,59137.11,10.3
Women's Apparel,Western Europe,2698,475500.0,57116.69,12.01
Women's Apparel,Central America,2870,517100.0,55246.14,10.68
Water Sports,Central America,2258,514174.3,53984.94,10.5
Indoor/Outdoor Games,Central America,2789,487504.92,53710.1,11.02
Indoor/Outdoor Games,Western Europe,2379,407486.94,51056.12,12.53
Cardio Equipment,Western Europe,1728,562804.08,49795.16,8.85
Men's Footwear,Central America,3044,470563.82,46277.8,9.83
Men's Footwear,Western Europe,2739,421427.6,45151.3,10.71
Cardio Equipment,South America,976,321148.2,42962.11,13.38
Water Sports,Western Europe,2078,475376.42,42556.85,8.95
Fishing,Northern Europe,798,367581.63,42153.81,11.47
Cleats,South America,1699,364379.27,41898.66,11.5
Camping & Hiking,South America,1099,364775.69,40373.12,11.07
Fishing,Southeast Asia,722,332383.39,38905.78,11.71
Fishing,Oceania,784,358382.09,38539.06,10.75
Fishing,East of USA,621,282385.89,37550.97,13.3
Fishing,Southern Europe,805,364381.79,37230.71,10.22
Fishing,West of USA ,710,325583.73,34777.95,10.68
Women's Apparel,South America,1596,283600.0,32639.41,11.51
Fishing,US Center ,513,237988.11,30589.96,12.85
Water Sports,South America,1224,277586.13,30304.84,10.92
Fishing,Caribbean,721,330783.47,29860.44,9.03
Cleats,Caribbean,1000,218543.58,28157.29,12.88
Men's Footwear,South America,1612,245421.13,28154.22,11.47
Cleats,Southern Europe,1036,221723.37,27793.91,12.54
Indoor/Outdoor Games,South America,1423,251199.48,27757.51,11.05
Fishing,South Asia,578,265586.73,27587.1,10.39
Camping & Hiking,Southern Europe,625,211485.91,26432.51,12.5
Cleats,Northern Europe,1075,238940.38,26393.4,11.05
Fishing,West Asia,511,237188.15,25436.58,10.72
Cleats,Southeast Asia,947,203966.01,25144.26,12.33
Shop By Sport,Central America,1725,223655.58,22989.37,10.28
Cardio Equipment,Caribbean,585,185151.63,22909.27,12.37
Camping & Hiking,Southeast Asia,546,183587.77,22156.42,12.07
Cleats,Oceania,1030,221843.03,21946.03,9.89
Computers,Western Europe,203,304500.0,21728.12,7.14
Camping & Hiking,Northern Europe,705,236984.21,21611.49,9.12
Camping & Hiking,Oceania,634,209686.03,21571.13,10.29
Water Sports,Northern Europe,726,162841.91,21005.42,12.9
Men's Footwear,Northern Europe,1032,158717.8,20507.06,12.92
Fishing,West Africa,331,149992.5,20400.67,13.6
Women's Apparel,Southern Europe,935,162000.0,20298.25,12.53
Camping & Hiking,West of USA ,546,184187.73,20162.71,10.95
Cardio Equipment,Northern Europe,620,204769.59,19716.26,9.63
Cleats,West of USA ,1003,218723.55,19337.74,8.84
Cardio Equipment,Southern Europe,581,184671.63,19160.79,10.38
Women's Apparel,West of USA ,818,143050.0,19131.18,13.37
Cleats,South Asia,773,170971.5,19077.83,11.16
Fishing,South of  USA ,328,153592.32,18902.37,12.31
Indoor/Outdoor Games,Southern Europe,851,148840.44,18403.29,12.36
Camping & Hiking,South Asia,482,161689.23,17956.15,11.11
Women's Apparel,Northern Europe,989,173700.0,17794.05,10.24
